control_id,organization_id,control_name,control_category,implementation_status,coverage_percentage,effectiveness_score,maturity_level,annual_cost,implementation_cost,maintenance_cost,deployment_time_days,risk_reduction_percentage,compliance_status,last_assessment_date
CTRL-0370,ORG-024,Intrusion Detection/Prevention (IDS/IPS),Network Security,Fully Implemented,85,0.68,Optimized,175000,500000,87500,18,20,Compliant,2026-08-29
CTRL-0371,ORG-024,Multi-Factor Authentication (MFA),Identity & Access,Fully Implemented,81,0.93,Managed,50000,125000,25000,23,25,Compliant,2026-03-09
CTRL-0372,ORG-024,Mobile Device Management (MDM),Endpoint Security,Fully Implemented,89,0.75,Managed,87500,200000,43750,11,12,Compliant,2026-03-24
CTRL-0373,ORG-024,Endpoint Detection & Response (EDR),Endpoint Security,Fully Implemented,86,0.72,Optimized,200000,500000,100000,41,20,Compliant,2026-06-13
CTRL-0374,ORG-024,Database Activity Monitoring,Data Protection,Fully Implemented,98,0.9,Managed,112500,300000,56250,25,15,Compliant,2026-05-17
CTRL-0375,ORG-024,Network Segmentation,Network Security,Not Implemented,0,0.0,Initial,0,1000000,75000,72,0,Non-Compliant,2026-04-15
CTRL-0376,ORG-025,SIEM,Monitoring,Planned,0,0.0,Initial,60000,200000,30000,40,0,Non-Compliant,2026-06-28
CTRL-0377,ORG-025,Zero Trust Architecture,Architecture,Partially Implemented,79,0.59,Defined,80000,320000,40000,177,35,Non-Compliant,2026-06-26
CTRL-0378,ORG-025,Web Application Firewall (WAF),Network Security,Partially Implemented,61,0.35,Developing,20000,60000,10000,28,18,Non-Compliant,2026-07-15
CTRL-0379,ORG-025,Email Security Gateway,Email Security,Fully Implemented,82,0.93,Managed,16000,40000,8000,29,15,Compliant,2026-05-29
CTRL-0380,ORG-025,Intrusion Detection/Prevention (IDS/IPS),Network Security,Not Implemented,0,0.0,Initial,0,80000,14000,34,0,Non-Compliant,2026-08-23
CTRL-0381,ORG-025,Multi-Factor Authentication (MFA),Identity & Access,Partially Implemented,45,0.62,Defined,8000,20000,4000,26,25,Non-Compliant,2026-07-31
CTRL-0382,ORG-025,API Security,Application Security,Partially Implemented,57,0.42,Developing,18000,48000,9000,24,15,Non-Compliant,2026-07-19
CTRL-0383,ORG-025,Container Security,Cloud Security,Fully Implemented,100,0.86,Managed,22000,60000,11000,44,18,Compliant,2026-08-07
CTRL-0384,ORG-025,Data Loss Prevention (DLP),Data Protection,Fully Implemented,97,0.71,Defined,36000,120000,18000,57,22,Compliant,2026-08-20
CTRL-0385,ORG-025,Incident Response Plan,Governance,Fully Implemented,94,0.94,Optimized,12000,32000,6000,26,10,Compliant,2026-06-23
CTRL-0386,ORG-025,Security Awareness Training,People,Fully Implemented,82,0.68,Optimized,12000,20000,6000,14,12,Compliant,2026-04-16
CTRL-0387,ORG-025,Network Segmentation,Network Security,Fully Implemented,99,0.83,Managed,24000,160000,12000,69,30,Compliant,2026-05-15
CTRL-0388,ORG-025,Endpoint Detection & Response (EDR),Endpoint Security,Fully Implemented,81,0.84,Defined,32000,80000,16000,35,20,Compliant,2026-09-01
CTRL-0389,ORG-025,Identity Governance (IGA),Identity & Access,Fully Implemented,93,0.67,Defined,26000,72000,13000,66,20,Compliant,2026-04-16
CTRL-0390,ORG-025,Mobile Device Management (MDM),Endpoint Security,Planned,0,0.0,Initial,14000,32000,7000,21,0,Non-Compliant,2026-05-01
CTRL-0391,ORG-025,Data Encryption (in transit),Data Protection,Fully Implemented,89,0.89,Defined,10000,32000,5000,28,18,Compliant,2026-05-06
CTRL-0392,ORG-025,Vulnerability Management,Risk Management,Partially Implemented,44,0.31,Defined,24000,60000,12000,35,20,Non-Compliant,2026-04-15
